layer,seed,gene,margin,t_dual,d_dual_to_tf,d_dual_to_tgt,d_tf_to_tgt
1,main,HDAC9,-0.8393936358222955,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,MEF2C,-1.0624039800482843,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,HEY1,-1.4515682118808941,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,LEF1,0.07018529788506456,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,LYL1,-2.567119582037486,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,NFKBIA,-2.577005099559375,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,NFKBIZ,-1.701027137251966,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,STAT4,0.09628532427296133,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,TNFAIP3,-1.9783272235076228,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,PBX1,-1.3888294968393715,-0.19866444,0.22533482,1.0566727,0.8733428
1,main,SOX9,-1.745736970739936,-0.19866444,0.22533482,1.0566727,0.8733428
1,seed43,BCL11A,-0.9837776787109656,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,GATA1,-2.125862963717219,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,BCL6,-1.7921924177943018,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,NFKB1,-1.430741567372267,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,STAT3,-1.6487391165555008,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,CEBPB,-2.758985354113071,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,PRDM1,-1.3366362841999335,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,PPARG,-0.9173855408629439,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,CREM,-1.637034411638425,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,FOS,-2.403115870931109,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,CTNNB1,-1.3347640095569762,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,JUN,-2.358624938632578,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,RB1,-1.5012167662758422,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,DACH1,-0.13525843226313827,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,EGR1,-2.6678594266589837,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,ERG,0.008650518340301172,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,ZEB1,-1.0394013754446823,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,ESR1,-0.7042077977187118,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,RUNX2,-0.4783761568571805,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,ETS1,-0.5738116772093727,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,ETS2,-2.1547153594465422,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,FHL2,-2.1735833609033945,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,RELA,-2.710433621662446,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,SPI1,-2.2083419124914565,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,FOXO3,-1.6972221584960225,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,GFI1B,-3.4219546785073005,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,KLF1,-2.5687427622593724,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,HDAC9,-0.9613132814006555,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,MEF2C,-1.0708627543493485,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,HEY1,-1.5490320629869705,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,LEF1,0.11630616038253105,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,LYL1,-2.6802114359118643,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,NFKBIA,-2.5860113943225724,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,NFKBIZ,-1.5839915126574327,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,STAT4,0.40809107291250735,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,TNFAIP3,-1.643342864016128,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,PBX1,-1.4771054889661057,-0.061508846,0.09737882,1.052149,0.9885892
1,seed43,SOX9,-1.7502135047044205,-0.061508846,0.09737882,1.052149,0.9885892
1,seed44,BCL11A,-0.8781519088781253,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,GATA1,-1.271563036612617,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,BCL6,-1.944451635506597,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,NFKB1,-1.527804392824085,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,STAT3,-1.8362474606317052,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,CEBPB,-2.9514330118997285,-0.07426467,0.1988679,1.1643307,1.0704744
