tf,n_targets,layer,obs_dist,null_dist_mean,null_dist_std,z_dist
JARID2,16,1,15.62886937258412,15.547665894185826,0.6375489438942644,0.12736822666866676
JARID2,16,2,14.705295335378576,14.701544150810074,0.9118516644052584,0.004113810080007642
JARID2,16,3,14.586868292399,14.491389409006814,1.0863130394936553,0.08789260546544665
JARID2,16,4,13.59402184820656,13.963675950803822,1.0922379339136354,-0.33843734146161786
JARID2,16,5,13.19418710679397,13.610324042421558,1.084652987993301,-0.38365905062178085
JARID2,16,6,12.996536513457897,13.507195208559313,1.1478203123146622,-0.4448942832102665
JARID2,16,7,12.7836258237871,12.988475506189994,1.161743553989237,-0.17632951928114793
JARID2,16,8,12.718387852218434,12.910881138611355,1.3156858523997224,-0.1463064196075575
JARID2,16,9,11.43197636307487,11.181852591172412,1.6512538691602365,0.15147505575848366
JARID2,16,10,9.683931326654772,9.738801787076039,1.5964090259979284,-0.03437117901971687
JARID2,16,11,7.641323824144321,8.398136856704863,1.7862901080526299,-0.4236786785913522
JUN,39,0,16.183021129088342,15.580062764014462,0.4584833727445374,1.315115009437523
JUN,39,1,14.73286509071268,13.986734241793476,0.4985241286651153,1.4966795106128539
JUN,39,2,14.153341973890925,13.400800369006962,0.440525885440082,1.7082801028415824
JUN,39,3,14.164496940201913,13.414092374508698,0.5959669175392589,1.2591379548241153
JUN,39,4,13.662604195067706,12.818570583134354,0.6056292008039307,1.393647483993433
JUN,39,5,13.36783585854829,12.37222749802795,0.6832547699555747,1.4571553749783177
JUN,39,6,13.405574572092545,12.466062982353092,0.7765071177573664,1.2099201259775452
JUN,39,7,13.285350867832864,12.303891628271447,0.6575747009373287,1.4925440990391092
JUN,39,8,13.366424968003784,12.504102354471328,0.891415273839504,0.9673635160167939
JUN,39,9,12.680930577243375,11.290749062632221,0.9241945335156978,1.5042087614636828
JUN,39,10,11.604455175453305,10.26382770110781,0.9068555607592051,1.478325250851573
JUN,39,11,9.68368398796602,8.282996351680044,1.109570227823721,1.262369520344147
JUNB,10,0,18.65171589471404,17.45715996621727,0.7577582817270284,1.5764340124059428
JUNB,10,1,16.529090399960918,15.9068697759437,0.7677851474057079,0.8104098211845551
JUNB,10,2,15.711300713634937,14.707282253694121,0.8413658375807955,1.1933197369026782
JUNB,10,3,15.531719332063231,14.733459603899288,0.9638055866602872,0.8282372910184282
JUNB,10,4,14.767549964352936,14.49418645074789,1.329639426799819,0.20559221402074287
JUNB,10,5,14.292536493719771,13.82099566654711,1.4798855077965063,0.3186333163534838
JUNB,10,6,14.05670457195754,13.69334729219029,1.510824177104463,0.2405026906993469
JUNB,10,7,13.72704544159504,13.146491412855704,1.498805606068255,0.3873444470642695
JUNB,10,8,13.501192694688879,13.24143580374854,1.3796546926939357,0.18827674222825452
JUNB,10,9,12.368420974895162,12.024993626267177,2.1583726262904146,0.15911402157570556
JUNB,10,10,10.869408989963127,9.77318388039728,2.782305106605651,0.39399888494012664
JUNB,10,11,8.887484001598,9.76174111289974,2.3232375399841705,-0.37630982465430385
KLF14,12,0,17.20251630831447,17.31544646565069,0.4783388783088142,-0.2360881844592931
KLF14,12,1,15.293049578751624,15.505061439391671,0.8562189105177579,-0.2476140833094221
KLF14,12,2,14.482816451603147,14.929895714000258,0.9124216390140488,-0.48999195468469914
KLF14,12,3,14.37729125051086,15.350859046660002,0.7356746674058621,-1.3233672970990553
KLF14,12,4,13.514620686563228,14.391256189805267,0.7981540009805896,-1.0983287713461671
KLF14,12,5,13.059757352117483,13.680833574910414,1.1984190278747742,-0.5182462964513519
KLF14,12,6,12.811892870061577,13.658416259408009,1.1146073641699852,-0.759481245646365
KLF14,12,7,12.461099604190453,13.181177230824304,1.3662563740799496,-0.5270442943907638
KLF14,12,8,12.168204656551346,13.065328312017154,1.2705618012584117,-0.7060842334290734
KLF14,12,9,11.10980937543282,11.827374662951765,2.1729806145226642,-0.3302216700522994
KLF14,12,10,9.631099542373274,10.807329975166365,2.056358501004401,-0.5719967759603087
KLF14,12,11,7.798288256732979,8.576674713734139,2.214491886192586,-0.35149663986326585
KLF2,21,0,17.939246963897435,17.503237311826677,0.300808898411319,1.4494572945597148
KLF2,21,1,16.081148926282943,15.590526868750445,0.49261017546434027,0.9959641151749083
KLF2,21,2,15.317329732837706,14.983353861780312,0.6650767806283095,0.5021613756262564
KLF2,21,3,15.224475619458582,14.916175180576484,0.736924150613051,0.41836115511429645
KLF2,21,4,14.40898008980582,14.046849443522694,0.691538920574619,0.5236590964138661
KLF2,21,5,14.006083332945598,13.625582725437374,0.9326398735968794,0.4079823501870678
KLF2,21,6,13.807257296283574,13.32464946198248,1.0793944668135809,0.44710979084946856
KLF2,21,7,13.553894724598312,13.279897433037217,0.9298775832384429,0.2946595299209782
KLF2,21,8,13.36718459015555,13.676715232666883,1.1733260240813428,-0.2638061682418414
KLF2,21,9,12.231953105907902,12.497088246061336,1.300975661356407,-0.2037971562642476
KLF2,21,10,10.64159852034773,10.857825695934046,1.5246813183089059,-0.14181794778343876
KLF2,21,11,8.647597472055303,8.568276847482647,1.5815554103666152,0.05015355393350956
KLF6,30,0,16.152914727532007,16.4786843855887,0.6226666656907811,-0.5231846764998842
KLF6,30,1,14.337114110125357,14.99943262171615,0.5973221193259552,-1.1088129673452936
KLF6,30,2,13.564497644714272,14.319986588996864,0.6150749045249786,-1.228287707276977
KLF6,30,3,13.488267379492486,13.868771622589154,0.8061570444307186,-0.47199766562279166
KLF6,30,4,12.705799000939667,13.710883761090406,0.7289071316529854,-1.3788927512225726
KLF6,30,5,12.334288073036044,13.02363277626824,0.8363381617762528,-0.8242415983603268
KLF6,30,6,12.221825543401591,13.038783489371564,0.8120565194144692,-1.0060358194760113
KLF6,30,7,11.985528305973936,12.662257153300391,0.7548858248137561,-0.8964651674223929
KLF6,30,8,11.789746698059767,12.787747101006111,0.7865680956008639,-1.268803563897371
KLF6,30,9,10.744528616176238,11.568914280945233,1.1611470038086265,-0.709975276226838
KLF6,30,10,9.219576310722712,10.859602198382268,1.4246174476109577,-1.151204409583662
KLF6,30,11,7.400319695868462,8.205182161622934,1.5670832203647769,-0.5136054392613054
LEF1,22,0,17.46029768276559,17.407288469913663,0.5575262206350952,0.09507931804811137
LEF1,22,1,15.501591115514628,15.357293538266163,0.47347265610468403,0.3047643309238155
LEF1,22,2,14.6866238096568,14.803561010823008,0.5612386970955091,-0.20835555668448363
LEF1,22,3,14.61672604620206,14.794034614703316,0.5548973899001087,-0.31953397462037736
LEF1,22,4,13.857292532106682,14.301310832572629,0.779371840101355,-0.569713040194272
LEF1,22,5,13.404867269312478,13.951575234381597,0.8433712373752023,-0.64824117878459
LEF1,22,6,13.281203159859992,13.763644224535813,0.7837342741645923,-0.6155671387347086
LEF1,22,7,13.039948495549696,12.827640164438534,0.9047140623810274,0.23466898541668346
LEF1,22,8,12.858642179934158,13.327488635839085,1.032410535952047,-0.45412792641889893
LEF1,22,9,11.762895376249041,12.097906586394293,1.2970509326427604,-0.25828685806706275
LEF1,22,10,10.215727355330852,10.150862924211932,1.8511614634673734,0.03503985600338929
LEF1,22,11,8.257239293677914,8.644544241393557,1.2335864029708001,-0.31396661537684845
LRRFIP1,13,0,16.746457421676293,17.589577827396578,0.5766492507507536,-1.4621026640069437
LRRFIP1,13,1,15.061232812563897,15.343042338947885,0.7245834499492968,-0.38892625328898656
LRRFIP1,13,2,14.297889077073046,15.031519852537533,0.7095903705626991,-1.0338792716179677
LRRFIP1,13,3,14.245768072200107,14.467120242138446,0.934864597140325,-0.23677457742590408
LRRFIP1,13,4,13.46999508787584,14.196554290909484,1.0014175135340013,-0.725530753371405
LRRFIP1,13,5,13.120882027619452,13.449110771885847,1.2752871258005334,-0.25737634892248834
LRRFIP1,13,6,13.02958045356998,13.69652399745235,1.0412162743325513,-0.6405427578529713
LRRFIP1,13,7,12.883166030863409,13.052405303201326,1.3317962031314565,-0.1270759534679435
LRRFIP1,13,8,12.872970207751662,12.647561381624428,1.4530230019095685,0.1551309413760146
LRRFIP1,13,9,11.786370313515858,12.197631638133199,1.957833518123335,-0.21005939514793462
LRRFIP1,13,10,10.134052553820055,11.280171357825422,2.3874907001713,-0.4800516307448376
LRRFIP1,13,11,8.066670843016805,8.137596268469817,2.2812275372450754,-0.031090903601253814
MAFA,12,0,18.169881671376345,17.545698201873538,0.6447384713059044,0.9681188532747799
MAFA,12,1,16.75008527103399,15.791470458472876,0.6952483773204031,1.3788091332996204
MAFA,12,2,16.21986933486876,14.925240233025786,0.9394149990856321,1.3781226647467697
MAFA,12,3,16.192005765970503,14.888603630382292,1.028312266932429,1.2675158874418624
MAFA,12,4,15.729554884460288,14.153373966551944,0.9131644019176128,1.726064785922907
MAFA,12,5,15.485786481517819,13.529348412589362,1.0276653448492208,1.9037696257194554
MAFA,12,6,15.523913496367685,13.168756776549753,1.1967747542960236,1.9679197872145133
MAFA,12,7,15.425004025827818,13.169572193801395,1.4094621312540243,1.6002074706467804
MAFA,12,8,15.529999617708757,13.111774570768944,1.6445855104066545,1.4704161210455162
MAFA,12,9,14.999109501858912,12.625607036217781,1.739445050060341,1.3645170714411443
MAFA,12,10,14.233719112951116,10.378698573488942,2.5064183638425193,1.5380594856287881
MAFA,12,11,12.210526541341745,8.435073529706779,2.2672910311084884,1.6651823519052735
MEF2C,12,0,16.03788108712698,17.347858612893038,0.5923400047534898,-2.2115297215342102
MEF2C,12,1,14.051672213361813,15.348322010495044,0.7691999904826268,-1.6857121856172426
MEF2C,12,2,13.120430470975165,14.412919022482622,0.8900078425843524,-1.452221530716409
MEF2C,12,3,12.973017602471494,14.712714410891488,0.9299178344444436,-1.8708070153954335
MEF2C,12,4,12.006341440958998,13.510820490630255,0.8736094157130545,-1.7221415229863066
MEF2C,12,5,11.499732204708854,13.56450739734792,1.295488762560786,-1.5938194543329236
